,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FAM86B2,8.365765766166074,-0.17969185585541683,0.5653521309937921,-0.3178405917380189,0.7506058582897585,0.9405338799373378
FAM86C1,71.81884881591375,-0.337648591823934,0.29292022113722965,-1.152698132320983,0.2490343083113411,0.6863665049222644
FAM86C2P,8.514681300514296,-0.3701829636052429,0.532619671635996,-0.6950230780402608,0.4870408389069215,0.8464149376231248
FAM86DP,17.090101747492874,-0.08550195937855981,0.4214011658951282,-0.20289919985612526,0.8392138196964702,0.966432434170071
FAM86EP,48.38672116537861,-0.6367520722082882,0.28216419984633045,-2.2566720815577246,0.024028572600281167,0.2127991179100939
FAM86HP,62.53674641292179,-0.9510700606627163,0.2697388147407122,-3.525892488172075,0.00042205826893567316,0.011417593692685907
FAM89A,11.106660194076145,-0.7403246947541208,0.4990045475962956,-1.4836031020564124,0.13791424596015556,0.5369918385513112
FAM89B,373.89123218628805,0.23915380071681583,0.1850352839559422,1.2924767406726574,0.1961920957676042,0.6219549877161219
FAM8A1,135.22629890338067,-0.14233017484873217,0.24740199258413437,-0.5752992260170651,0.5650889448833504,0.8839696594587855
FAM91A1,318.4326837918931,0.0024058671884604065,0.28361476779828226,0.008482869940579228,0.993231730216291,0.9985781905375147
FAM92A1,104.31911684538119,0.18396618755171493,0.22620050439948025,0.813288140272324,0.41605287508782174,0.8075891661531223
FAM96A,97.23925237414943,-0.21599796258298845,0.2563577371239928,-0.8425646325568732,0.3994719781441737,0.8008270993639012
FAM96B,653.9094182168133,0.09411106763739906,0.17136178242646033,0.5491951957128287,0.5828715010751475,0.8911948140592063
FAM98A,1107.0705557013157,0.288611425945582,0.24276327900249145,1.1888594812670166,0.23449496690765737,0.6676425280065909
FAM98B,308.31605210887255,0.36774297487121715,0.2896883559128347,1.269443411739575,0.20428296123993106,0.6323624800173389
FAM98C,145.27087620307293,0.06891168421491478,0.22865314201047518,0.3013808758934866,0.7631240756169027,0.9437505577348252
FAN1,125.10240200588039,-0.025410975176189572,0.2494144954287471,-0.10188251140940201,0.9188499315944884,0.9818853439629489
FANCA,41.58861177419359,0.4284830659004309,0.2917383759274782,1.4687236964908086,0.14190774745299853,0.5440024371745268
FANCB,26.78708880902046,-0.14749972022954583,0.3308372348990313,-0.4458377252323533,0.6557144688936274,0.916074487959752
